Week,Deleted,Sent,Total,Description
1,652,315,967,Holiday
2,875,477,1352,Normal
3,890,486,1376,Normal
4,879,394,1273,Travel
5,1038,618,1656,Normal
6,965,523,1488,Normal
7,770,307,1077,Travel
8,929,502,1431,Normal
9,959,563,1522,Normal
10,844,478,1322,Normal
11,745,304,1049,Travel
12,752,403,1155,Travel
13,815,400,1215,Normal
14,932,467,1399,Normal
15,732,308,1040,Normal
16,901,480,1381,Normal
17,722,197,919,Travel
18,840,427,1267,Normal
19,853,469,1322,Normal
20,811,491,1302,Normal
21,853,378,1231,Normal
22,759,316,1075,Normal
23,819,333,1152,Travel
24,820,350,1170,Normal
25,824,402,1226,Normal
26,852,501,1353,Normal
27,769,413,1182,Normal
28,837,413,1250,Normal
29,819,403,1222,Normal
30,842,266,1108,Travel
31,738,344,1082,Normal
32,575,130,705,Vacation
33,680,230,910,Travel
34,801,388,1189,Normal
35,781,336,1117,Normal
36,698,275,973,Normal
37,688,248,936,Travel
38,813,397,1210,Normal
39,778,273,1051,Travel
40,887,424,1311,Normal
41,739,341,1080,Normal
42,804,407,1211,Normal
43,816,391,1207,Normal
44,799,355,1154,Normal
45,754,313,1067,Travel
46,747,248,995,Travel
47,593,189,782,Holiday
48,843,348,1191,Normal
49,776,338,1114,Normal
50,762,308,1070,Normal
51,546,216,762,Holiday
52,281,39,320,Holiday
