Week,Deleted,Sent,Total,Description
1,283,94,377,Holiday
2,943,517,1460,Normal
3,698,294,992,Travel
4,748,363,1111,Normal
5,737,348,1085,Normal
6,658,321,979,Normal
7,677,275,952,Travel
8,744,322,1066,Normal
9,910,560,1470,Announcement
10,897,530,1427,Normal
11,742,333,1075,Travel
12,708,312,1020,Travel
13,679,251,930,Travel
14,688,400,1088,Normal
15,732,368,1100,Normal
16,626,330,956,Travel
17,810,510,1320,Normal
18,684,297,981,Vacation
19,694,308,1002,Travel
20,774,448,1222,Normal
21,1013,565,1578,Normal
22,664,354,1018,Normal
23,749,332,1081,Normal
24,672,331,1003,Normal
25,805,413,1218,Normal
26,725,311,1036,Travel
27,655,293,948,Holiday
28,738,278,1016,Travel
29,624,252,876,Travel
30,716,401,1117,Normal
31,435,61,496,Vacation
32,426,30,456,Vacation
33,698,414,1112,Normal
34,752,344,1096,Travel
35,775,431,1206,Normal
36,831,430,1261,Normal
37,789,297,1086,Travel
38,1036,529,1565,Normal
39,1048,700,1748,Normal
40,753,309,1062,Travel
41,877,462,1339,Normal
42,776,451,1227,Normal
43,773,437,1210,Normal
44,797,441,1238,Normal
45,737,355,1092,Normal
46,833,413,1246,Travel
47,786,378,1164,Travel
48,688,361,1049,Holiday
49,995,531,1526,Normal
50,1070,538,1608,Normal
51,873,409,1282,Holiday
52,265,18,283,Holiday
