Week,Deleted,Sent,Total,Description
1,602,177,779,Holiday
2,864,437,1301,Normal
3,818,332,1150,Normal
4,954,504,1458,Normal
5,827,307,1134,Travel
6,715,287,1002,Normal
7,747,215,962,Travel
8,751,272,1023,Normal
9,798,313,1111,Normal
10,954,442,1396,Normal
11,819,129,948,Travel
12,801,317,1118,Normal
13,913,348,1261,Normal
14,889,405,1294,Normal
15,899,415,1314,Normal
16,930,360,1290,Normal
17,813,349,1162,Normal
18,792,307,1099,Travel
19,1050,329,1379,Travel
20,786,242,1028,Travel
21,757,140,897,Vacation
22,823,305,1128,Normal
23,808,298,1106,Normal
24,836,278,1114,Normal
25,816,320,1136,Normal
26,752,133,885,Travel
27,704,261,965,Normal
28,787,247,1034,Travel
29,828,342,1170,Normal
30,808,314,1122,Normal
31,809,308,1117,Normal
32,581,74,655,Vacation
33,595,79,674,Vacation
34,741,308,1049,Normal
35,759,299,1058,Normal
36,591,117,708,Travel
37,851,301,1152,Normal
38,713,271,984,Announcement
39,857,463,1320,Travel
40,757,307,1064,Normal
41,817,353,1170,Normal
42,805,365,1170,Normal
43,821,329,1150,Normal
44,925,432,1357,Normal
45,651,139,790,Travel
46,748,297,1045,Normal
47,486,74,560,Holiday
48,767,312,1079,Normal
49,774,243,1017,Normal
50,630,250,880,Announcement
51,616,239,855,Normal
52,248,23,271,Holiday
